zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,1.0986122886681098,6.111467339502679,9.90353755128617
1,0,0,0,1.0986122886681098,5.5254529391317835,8.853808274977197
0,0,1,0,1.6094379124341003,5.802118375377063,9.852246888342531
0,0,0,1,1.3862943611198906,5.8888779583328805,9.350189267092581
0,1,0,0,1.3862943611198906,4.394449154672439,7.00397413672268
0,0,0,1,1.0986122886681098,5.442417710521793,7.438971592395862
0,0,1,0,1.6094379124341003,6.792344427470809,10.915106645867503
0,0,0,1,1.791759469228055,6.3561076606958915,9.798182590890704
0,0,0,1,1.3862943611198906,6.100318952020064,9.90353755128617
0,0,1,0,1.791759469228055,6.80903930604298,9.746892220313054
0,0,1,0,1.3862943611198906,5.993961427306569,8.853808274977197
0,0,0,1,1.6094379124341003,6.398594934535208,10.12667110305036
0,0,0,1,1.6094379124341003,5.402677381872279,8.160803920954665
0,1,0,0,1.3862943611198906,5.25227342804663,8.294299608857235
1,0,0,0,1.0986122886681098,4.709530201312334,7.601402334583733
0,0,1,0,1.6094379124341003,5.942799375126701,9.210440366976517
1,0,0,0,1.0986122886681098,4.709530201312334,7.650168700845001
0,1,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
0,0,0,1,0.6931471805599453,3.044522437723423,6.2166061010848646
0,1,0,0,1.3862943611198906,4.418840607796598,7.313886831633462
0,0,0,1,1.791759469228055,5.638354669333745,8.922791623969637
0,0,1,0,1.0986122886681098,4.795790545596741,8.630700432209832
1,0,0,0,1.0986122886681098,4.31748811353631,7.0909098220799835
0,1,0,0,1.0986122886681098,5.860786223465865,8.987321812850125
0,1,0,0,1.3862943611198906,4.51085950651685,8.006700845440367
0,0,1,0,1.0986122886681098,5.303304908059076,8.268988209506656
1,0,0,0,1.3862943611198906,4.844187086458591,7.313886831633462
0,0,1,0,1.3862943611198906,4.948759890378168,7.824445930877619
1,0,0,0,1.791759469228055,5.3981627015177525,7.601402334583733
0,0,0,1,1.0986122886681098,4.941642422609304,8.294299608857235
0,1,0,0,1.3862943611198906,5.420534999272286,8.006700845440367
0,1,0,0,1.6094379124341003,5.313205979041787,8.006700845440367
0,0,0,1,1.0986122886681098,6.478509642208569,10.545341438708522
0,0,0,1,0.6931471805599453,4.110873864173311,7.00397413672268
0,0,1,0,0.6931471805599453,3.828641396489095,6.90875477931522
0,0,1,0,0.6931471805599453,3.828641396489095,6.90875477931522
0,0,1,0,1.0986122886681098,5.484796933490655,8.922791623969637
1,0,0,0,1.0986122886681098,4.2626798770413155,7.0909098220799835
0,0,1,0,1.0986122886681098,4.762173934797756,13.304686600863562
0,0,1,0,1.0986122886681098,5.262690188904886,7.601402334583733
1,0,0,0,1.0986122886681098,4.110873864173311,6.7464121285733745
0,0,1,0,0.6931471805599453,3.7612001156935624,6.85751406254539
0,1,0,0,1.0986122886681098,4.2626798770413155,6.85751406254539
0,0,0,1,1.0986122886681098,5.860786223465865,9.305741456739435
1,0,0,0,1.6094379124341003,5.993961427306569,9.392745258631441
1,0,0,0,1.0986122886681098,3.713572066704308,7.00397413672268
1,0,0,0,1.6094379124341003,4.948759890378168,8.160803920954665
0,0,0,1,0.6931471805599453,4.709530201312334,7.901377353792616
0,1,0,0,1.3862943611198906,5.017279836814924,8.006700845440367
0,0,1,0,1.3862943611198906,5.017279836814924,8.160803920954665
0,0,1,0,1.0986122886681098,4.875197323201151,7.650168700845001
0,0,1,0,0.6931471805599453,4.836281906951478,7.0909098220799835
0,0,1,0,1.6094379124341003,5.993961427306569,9.61587214452889
1,0,0,0,1.0986122886681098,4.672828834461906,7.550135342488429
0,1,0,0,1.3862943611198906,4.394449154672439,7.244941546337007
0,0,0,1,1.3862943611198906,5.298317366548036,8.699681400989514
1,0,0,0,1.6094379124341003,5.993961427306569,10.308985993422082
0,0,0,1,1.0986122886681098,4.795790545596741,7.824445930877619
0,0,1,0,1.3862943611198906,5.017279836814924,7.741099090035366
0,1,0,0,1.0986122886681098,3.4339872044851463,6.647688373563329
0,0,0,1,1.791759469228055,5.303304908059076,8.853808274977197
0,0,1,0,1.6094379124341003,5.697093486505405,9.648659816955295
1,0,0,0,0.6931471805599453,4.2626798770413155,7.048386408721883
0,0,0,1,1.3862943611198906,4.61512051684126,7.824445930877619
0,0,0,1,1.0986122886681098,6.261491684321042,10.243560441877241
0,1,0,0,1.0986122886681098,3.828641396489095,6.85751406254539
0,1,0,0,0.6931471805599453,3.713572066704308,6.55250788703459
0,0,1,0,1.791759469228055,6.55250788703459,9.852246888342531
1,0,0,0,1.0986122886681098,4.110873864173311,7.313886831633462
1,0,0,0,1.791759469228055,6.236369590203704,9.546884034617925
1,0,0,0,1.0986122886681098,4.330733340286331,6.90875477931522
0,0,0,1,0.6931471805599453,3.258096538021482,6.398594934535208
1,0,0,0,1.0986122886681098,4.61512051684126,7.3783837129967145
1,0,0,0,1.3862943611198906,4.820281565605037,8.160803920954665
1,0,0,0,1.0986122886681098,4.61512051684126,7.170888478512505
0,0,0,1,1.0986122886681098,4.948759890378168,8.294299608857235
0,0,1,0,1.0986122886681098,5.231108616854587,9.305741456739435
0,0,1,0,1.0986122886681098,5.501258210544727,10.239995502805316
0,1,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
